jogo,horas_jogadas
Europa Universalis 4,1176
victoria II,957
Crusader Kings II,128
Euro Truck Simulator 2,86
Stardew Valley,84
Sid Meier's Civilization VI,83
Sid Meier's Civilization V,49
RetroArch,36
Mount & Blade: Warband,32
Celeste,25
